audio_filepath,ref,hyp_greedy
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Command and Control Words-W1/Male/21To50/LDC-IL_Scheduled_Konkani_Male_21To50_Command and Control Words-W1_SP-0272_W1-0255.wav,सत्तयांयशीं,सत्तयांयशीं
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Person Name-W2/Male/21To50/LDC-IL_Scheduled_Konkani_Male_21To50_Person Name-W2_SP-0087_W2-0090.wav,कमल नाथ मिश्रा,कमल नाथ मिश्रा
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Command and Control Words-W1/Male/Above51/LDC-IL_Scheduled_Konkani_Male_Above51_Command and Control Words-W1_SP-0455_W1-0085.wav,पी,पी
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Sentence-S/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Sentence-S_SP-0263_S-0315.wav,भडक रंगाचे कपडे जल्पाक आवडीनात.,भडक रंगाचे कपडे जल्पाक आवडीनात.
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Place Name-W2/Female/16To20/LDC-IL_Scheduled_Konkani_Female_16To20_Place Name-W2_SP-0394_W2-1105.wav,दाबाळ,दाबाळ
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Command and Control Words-W1/Male/21To50/LDC-IL_Scheduled_Konkani_Male_21To50_Command and Control Words-W1_SP-0389_W1-0164.wav,दनपारां,दनपारां
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Most Frequent Word-Part-W3A/Male/21To50/LDC-IL_Scheduled_Konkani_Male_21To50_Most Frequent Word-Part-W3A_SP-0270_W3A-0054.wav,मारप,मारप
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Most Frequent Word-FullSet-W3B/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Most Frequent Word-FullSet-W3B_SP-0001_W3B-0184.wav,रे,रे
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Most Frequent Word-Part-W3A/Male/21To50/LDC-IL_Scheduled_Konkani_Male_21To50_Most Frequent Word-Part-W3A_SP-0197_W3A-0214.wav,नात,नात
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Person Name-W2/Male/21To50/LDC-IL_Scheduled_Konkani_Male_21To50_Person Name-W2_SP-0413_W2-0323.wav,प्रेम चोपड़ा,प्रेम चोपड<unk>ा
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Sentence-S/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Sentence-S_SP-0346_S-0296.wav,एकादशीचो फळार उत्तम आशिल्लो.,एकादशीचो फळार उत्तम आशिल्लो.
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Phonetically Balanced-W4/Male/16To20/LDC-IL_Scheduled_Konkani_Male_16To20_Phonetically Balanced-W4_SP-0167_W4-0268.wav,धन,धन
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Form and Function Word-W5/Female/Above51/LDC-IL_Scheduled_Konkani_Female_Above51_Form and Function Word-W5_SP-0044_W5-0176.wav,तो,तो
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Command and Control Words-W1/Female/16To20/LDC-IL_Scheduled_Konkani_Female_16To20_Command and Control Words-W1_SP-0009_W1-0156.wav,आँक्टोबर,आँक्टोबर
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Place Name-W2/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Place Name-W2_SP-0370_W2-0871.wav,बर्धमान,बर्धमान
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Most Frequent Word-Part-W3A/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Most Frequent Word-Part-W3A_SP-0007_W3A-0567.wav,उलो,उलो
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Most Frequent Word-Part-W3A/Male/21To50/LDC-IL_Scheduled_Konkani_Male_21To50_Most Frequent Word-Part-W3A_SP-0197_W3A-0782.wav,पंदरा,पंदरा
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Sentence-S/Female/Above51/LDC-IL_Scheduled_Konkani_Female_Above51_Sentence-S_SP-0363_S-0190.wav,रश्मिन गळ्याक घाल्लो भांगराचो हार झगझगतालो.,रश्मिन गळ्याक घाल्लो भांगराचो हार झगझगतालो.
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Command and Control Words-W1/Male/21To50/LDC-IL_Scheduled_Konkani_Male_21To50_Command and Control Words-W1_SP-0391_W1-0148.wav,मे,मे
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Command and Control Words-W1/Male/21To50/LDC-IL_Scheduled_Konkani_Male_21To50_Command and Control Words-W1_SP-0251_W1-0303.wav,णवी,णवी
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Most Frequent Word-Part-W3A/Male/16To20/LDC-IL_Scheduled_Konkani_Male_16To20_Most Frequent Word-Part-W3A_SP-0339_W3A-0325.wav,पावल,पावल
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Person Name-W2/Male/21To50/LDC-IL_Scheduled_Konkani_Male_21To50_Person Name-W2_SP-0218_W2-0303.wav,पी कँडॅथ,पी कँडॅथ
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Person Name-W2/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Person Name-W2_SP-0353_W2-0280.wav,निखिल चोपड़ा,निखिल चोपड<unk>ा
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Command and Control Words-W1/Male/21To50/LDC-IL_Scheduled_Konkani_Male_21To50_Command and Control Words-W1_SP-0496_W1-0290.wav,अष्टम,अष्टम
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Most Frequent Word-Part-W3A/Male/Above51/LDC-IL_Scheduled_Konkani_Male_Above51_Most Frequent Word-Part-W3A_SP-0280_W3A-0343.wav,गाडी,गाडी
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Most Frequent Word-Part-W3A/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Most Frequent Word-Part-W3A_SP-0104_W3A-0296.wav,येना,येना
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Most Frequent Word-FullSet-W3B/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Most Frequent Word-FullSet-W3B_SP-0001_W3B-0378.wav,कर,कर
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Most Frequent Word-Part-W3A/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Most Frequent Word-Part-W3A_SP-0059_W3A-0868.wav,लेख,लेख
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Person Name-W2/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Person Name-W2_SP-0196_W2-0450.wav,रामदास सिंह,रामदास सिंह
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Most Frequent Word-Part-W3A/Male/21To50/LDC-IL_Scheduled_Konkani_Male_21To50_Most Frequent Word-Part-W3A_SP-0329_W3A-0247.wav,काळीज,काळीज
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Form and Function Word-W5/Male/21To50/LDC-IL_Scheduled_Konkani_Male_21To50_Form and Function Word-W5_SP-0197_W5-0286.wav,तरी,तरी
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Command and Control Words-W1/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Command and Control Words-W1_SP-0101_W1-0151.wav,जुलय,जुलय
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Person Name-W2/Male/21To50/LDC-IL_Scheduled_Konkani_Male_21To50_Person Name-W2_SP-0267_W2-0421.wav,रमाकांत खलप,रमाकांत खलप
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Command and Control Words-W1/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Command and Control Words-W1_SP-0378_W1-0316.wav,दोन जावन धा मिन्टां,दो जान्धा जिन्ताात
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Command and Control Words-W1/Male/Above51/LDC-IL_Scheduled_Konkani_Male_Above51_Command and Control Words-W1_SP-0313_W1-0153.wav,आगोश्त,आगोश्त
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Sentence-S/Female/Above51/LDC-IL_Scheduled_Konkani_Female_Above51_Sentence-S_SP-0031_S-0321.wav,झगडीं करून लाभ कांयच ना.,झगडीं करून लाभ कांयच ना.
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Command and Control Words-W1/Male/21To50/LDC-IL_Scheduled_Konkani_Male_21To50_Command and Control Words-W1_SP-0497_W1-0195.wav,सत्तावीस,सत्तावीस
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Person Name-W2/Male/21To50/LDC-IL_Scheduled_Konkani_Male_21To50_Person Name-W2_SP-0417_W2-0327.wav,फेलीसियु कार्दोज,फेलीसियु कार्दोज
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Most Frequent Word-Part-W3A/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Most Frequent Word-Part-W3A_SP-0175_W3A-0072.wav,आपलें,आपलें
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Person Name-W2/Male/21To50/LDC-IL_Scheduled_Konkani_Male_21To50_Person Name-W2_SP-0178_W2-0357.wav,भैरों सिंह शेखावत,भैरों सिंह शेखावत
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Most Frequent Word-FullSet-W3B/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Most Frequent Word-FullSet-W3B_SP-0001_W3B-0270.wav,दोळे,दोळे
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Most Frequent Word-Part-W3A/Female/Above51/LDC-IL_Scheduled_Konkani_Female_Above51_Most Frequent Word-Part-W3A_SP-0038_W3A-0187.wav,तुवें,तुवें
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Command and Control Words-W1/Male/21To50/LDC-IL_Scheduled_Konkani_Male_21To50_Command and Control Words-W1_SP-0409_W1-0219.wav,एकावन,एकावन
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Most Frequent Word-Part-W3A/Male/Above51/LDC-IL_Scheduled_Konkani_Male_Above51_Most Frequent Word-Part-W3A_SP-0024_W3A-0727.wav,करणी,करणी
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Form and Function Word-W5/Male/16To20/LDC-IL_Scheduled_Konkani_Male_16To20_Form and Function Word-W5_SP-0151_W5-0504.wav,पयर,पयर
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Most Frequent Word-Part-W3A/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Most Frequent Word-Part-W3A_SP-0030_W3A-0896.wav,लिपोवप,लिपोवप
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Most Frequent Word-Part-W3A/Female/Above51/LDC-IL_Scheduled_Konkani_Female_Above51_Most Frequent Word-Part-W3A_SP-0442_W3A-0405.wav,हातूंत,हातूंत
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Place Name-W2/Female/Above51/LDC-IL_Scheduled_Konkani_Female_Above51_Place Name-W2_SP-0433_W2-0970.wav,सन्त रविदास नगर,सन्त रविदास नगर
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Command and Control Words-W1/Male/Above51/LDC-IL_Scheduled_Konkani_Male_Above51_Command and Control Words-W1_SP-0294_W1-0006.wav,वचूं नाका,वचूं नाका
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Most Frequent Word-Part-W3A/Male/Above51/LDC-IL_Scheduled_Konkani_Male_Above51_Most Frequent Word-Part-W3A_SP-0230_W3A-0485.wav,भांगर,भांगर
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Most Frequent Word-FullSet-W3B/Male/21To50/LDC-IL_Scheduled_Konkani_Male_21To50_Most Frequent Word-FullSet-W3B_SP-0091_W3B-0241.wav,भाव,भाव
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Most Frequent Word-Part-W3A/Female/16To20/LDC-IL_Scheduled_Konkani_Female_16To20_Most Frequent Word-Part-W3A_SP-0437_W3A-0697.wav,हालप,हालप
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Most Frequent Word-Part-W3A/Male/21To50/LDC-IL_Scheduled_Konkani_Male_21To50_Most Frequent Word-Part-W3A_SP-0197_W3A-0202.wav,कविता,कविता
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Sentence-S/Male/21To50/LDC-IL_Scheduled_Konkani_Male_21To50_Sentence-S_SP-0467_S-0163.wav,सप्तकाच्या दिसांनी देवळांनी प्रवचनां आनी भजनां जायत रावतात.,सप्तकाच्या दिसांनी देवळांनी प्रवचनां आनी भजनां जायत रावतात.
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Sentence-S/Male/Above51/LDC-IL_Scheduled_Konkani_Male_Above51_Sentence-S_SP-0415_S-0097.wav,औदुंबरान खेळांमळार शाळेक जायती इनामां मिळोवन दिल्यात.,औदुंबरान खेळांमळार शाळेक जायती इनामां मिळोवन ल्याा.
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Command and Control Words-W1/Female/Above51/LDC-IL_Scheduled_Konkani_Female_Above51_Command and Control Words-W1_SP-0213_W1-0198.wav,तीस,तीस
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Place Name-W2/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Place Name-W2_SP-0062_W2-1191.wav,बांबोय,बांबोय
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Most Frequent Word-Part-W3A/Male/21To50/LDC-IL_Scheduled_Konkani_Male_21To50_Most Frequent Word-Part-W3A_SP-0197_W3A-0024.wav,कितें,कितें
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Sentence-S/Female/Above51/LDC-IL_Scheduled_Konkani_Female_Above51_Sentence-S_SP-0426_S-0140.wav,घरां आयिल्ल्या सगळ्याचें आमी स्वागत करतात.,घरां आयिल्ल्या सगळ्याचें आमी स्वागत करतात.
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Form and Function Word-W5/Male/21To50/LDC-IL_Scheduled_Konkani_Male_21To50_Form and Function Word-W5_SP-0158_W5-0253.wav,च्-च्,च्-च्
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Most Frequent Word-FullSet-W3B/Female/16To20/LDC-IL_Scheduled_Konkani_Female_16To20_Most Frequent Word-FullSet-W3B_SP-0034_W3B-0485.wav,भांगर,भांगर
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Most Frequent Word-Part-W3A/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Most Frequent Word-Part-W3A_SP-0468_W3A-0691.wav,बरोवपी,बरोवपी
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Most Frequent Word-Part-W3A/Male/16To20/LDC-IL_Scheduled_Konkani_Male_16To20_Most Frequent Word-Part-W3A_SP-0240_W3A-0179.wav,पयशे,पयशे
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Most Frequent Word-FullSet-W3B/Male/Above51/LDC-IL_Scheduled_Konkani_Male_Above51_Most Frequent Word-FullSet-W3B_SP-0102_W3B-0797.wav,ऑफीस,ऑफीस
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Place Name-W2/Female/Above51/LDC-IL_Scheduled_Konkani_Female_Above51_Place Name-W2_SP-0301_W2-0986.wav,सोळणे,सोळणे
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Person Name-W2/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Person Name-W2_SP-0378_W2-0266.wav,नलिनीकांत नवीन,बेनजीत भुकटो
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Command and Control Words-W1/Male/21To50/LDC-IL_Scheduled_Konkani_Male_21To50_Command and Control Words-W1_SP-0133_W1-0289.wav,आठवो,आठवो
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Form and Function Word-W5/Male/21To50/LDC-IL_Scheduled_Konkani_Male_21To50_Form and Function Word-W5_SP-0158_W5-0527.wav,शेकीं,शेकीं
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Command and Control Words-W1/Male/21To50/LDC-IL_Scheduled_Konkani_Male_21To50_Command and Control Words-W1_SP-0303_W1-0006.wav,वचूं नाका,वचूं नाका
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Most Frequent Word-Part-W3A/Female/16To20/LDC-IL_Scheduled_Konkani_Female_16To20_Most Frequent Word-Part-W3A_SP-0425_W3A-0279.wav,दाखयत,दाखयत
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Form and Function Word-W5/Male/21To50/LDC-IL_Scheduled_Konkani_Male_21To50_Form and Function Word-W5_SP-0158_W5-0463.wav,अदीक,अदीक
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Most Frequent Word-FullSet-W3B/Male/Above51/LDC-IL_Scheduled_Konkani_Male_Above51_Most Frequent Word-FullSet-W3B_SP-0102_W3B-0305.wav,पळय,पळय
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Sentence-S/Male/Above51/LDC-IL_Scheduled_Konkani_Male_Above51_Sentence-S_SP-0365_S-0105.wav,सरकाराक कोंकणीचे भोव पडला.,सरकाराक कोंकणीचे भोव पडला.
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Command and Control Words-W1/Male/21To50/LDC-IL_Scheduled_Konkani_Male_21To50_Command and Control Words-W1_SP-0133_W1-0235.wav,सातसठ,सातसठ
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Command and Control Words-W1/Male/21To50/LDC-IL_Scheduled_Konkani_Male_21To50_Command and Control Words-W1_SP-0483_W1-0029.wav,सांगात,सांगात
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Person Name-W2/Male/21To50/LDC-IL_Scheduled_Konkani_Male_21To50_Person Name-W2_SP-0254_W2-0240.wav,दिनानाथ मंगेशकर,दिनानाथ मंगेशकर
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Command and Control Words-W1/Male/21To50/LDC-IL_Scheduled_Konkani_Male_21To50_Command and Control Words-W1_SP-0485_W1-0134.wav,बिरेस्तार,बिरेस्तार
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Most Frequent Word-Part-W3A/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Most Frequent Word-Part-W3A_SP-0076_W3A-0858.wav,दुयेंस,दुयेंस
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Command and Control Words-W1/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Command and Control Words-W1_SP-0141_W1-0012.wav,उठ,उठ
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Sentence-S/Male/Above51/LDC-IL_Scheduled_Konkani_Male_Above51_Sentence-S_SP-0330_S-0132.wav,खरें भांगर खंयचे हाची पारख फकत सोनारच करपाक शकता.,खरें भांगर खंयचा हाचे पार घपती सोनारच करपाक शकता.
